osmid,y,x,street_cou,highway,ref
25503936,41.1660713,-8.6406364,3,,
25503951,41.168347,-8.6420446,3,,
25504027,41.1668853,-8.6415867,3,,
25504163,41.1742319,-8.6224058,3,,
25504183,41.1749254,-8.6224443,3,,
25507552,41.166241,-8.5835683,3,motorway_junction,
25507559,41.1626066,-8.5810576,3,motorway_junction,
25507576,41.1541532,-8.5825433,3,motorway_junction,
25507581,41.1520755,-8.5801756,3,,
25507582,41.1513862,-8.5797087,3,motorway_junction,5
25507591,41.1483683,-8.5793775,3,,
25507594,41.1472516,-8.580636,3,,
25507600,41.1454215,-8.5811733,3,,
25620516,41.1499575,-8.6140445,3,,
25620518,41.1499245,-8.6148131,3,,
25620570,41.152994,-8.6120177,3,,
25620653,41.153597,-8.6119957,3,,
25620737,41.1479515,-8.6121592,4,traffic_signals,
25620743,41.147888,-8.6112856,4,,
25620747,41.1478426,-8.6109422,4,,
25620759,41.1488008,-8.6121386,3,traffic_signals,
25620947,41.1471763,-8.6121861,3,,
25620948,41.1475478,-8.6133682,4,,
25632226,41.1507093,-8.6210997,4,,
25632227,41.1516791,-8.6212767,3,,
25632228,41.1502192,-8.6230542,4,,
25632229,41.1493674,-8.6229257,3,,
25632230,41.1496431,-8.6208752,4,traffic_signals,
25632231,41.1506749,-8.6231422,3,,
25632278,41.1524873,-8.6180312,3,,
25632279,41.1522366,-8.6179199,3,,
25632284,41.1551988,-8.6188807,4,,
25632285,41.1541642,-8.6133083,3,,
25632292,41.1528719,-8.6135935,3,,
25632293,41.1537434,-8.6132505,4,,
25632361,41.1526088,-8.6207549,4,,
25632362,41.1477709,-8.6226637,3,traffic_signals,
25632363,41.1474495,-8.6203514,3,traffic_signals,
25632367,41.1491595,-8.6149639,3,,
25632368,41.1485895,-8.615614,3,crossing,
25632371,41.1476258,-8.6202036,3,,
25632372,41.1529176,-8.6240719,3,,
25632375,41.1551976,-8.6100477,4,,
25632376,41.1518487,-8.6101425,4,,
25632398,41.1509254,-8.6067378,4,,
25632399,41.1511073,-8.6073894,3,,
25632400,41.1502271,-8.6077498,3,,
25632401,41.1504849,-8.6089109,4,,
25632402,41.1501627,-8.6094208,3,,
25632411,41.1509449,-8.6042501,4,,
25632412,41.1493955,-8.6041093,4,traffic_signals,
25632419,41.1508997,-8.6099839,3,,
25632422,41.1491992,-8.6104496,4,,
25632423,41.1510098,-8.6022297,4,,
25632424,41.1509525,-8.6036864,3,,
25632425,41.1532611,-8.6035241,3,,
25632426,41.1532765,-8.6024055,4,,
25632427,41.1532733,-8.6007815,4,,
25632428,41.1510477,-8.6011373,3,,
25632429,41.1510849,-8.600131,3,traffic_signals,
25632432,41.1489819,-8.6020829,4,traffic_signals,
25632433,41.1491982,-8.6031713,4,,
25632438,41.1489481,-8.6019062,3,,
25632446,41.1536304,-8.6047458,3,,
25632447,41.1548147,-8.604695,4,traffic_signals,
25632449,41.1545708,-8.6030152,4,traffic_signals,
25632450,41.1551062,-8.605549,3,,
25632454,41.1535512,-8.6062294,4,,
25632463,41.155553,-8.6026294,3,,
25632466,41.1532952,-8.5997196,5,traffic_signals,
25632521,41.1545295,-8.5994778,3,,
26015872,41.1667121,-8.586275,3,,
26015879,41.1713532,-8.5938865,3,motorway_junction,
26015889,41.1717841,-8.5970968,3,,
26015892,41.1714553,-8.5980825,3,motorway_junction,
26015928,41.1737099,-8.6187612,3,motorway_junction,
26015929,41.1732342,-8.6248431,3,,
26016417,41.1687869,-8.6400656,3,motorway_junction,
26016418,41.1684717,-8.6402255,3,,
26016419,41.1670798,-8.6424338,3,motorway_junction,
26016423,41.1661784,-8.6438364,3,,
26016441,41.1583005,-8.6473116,3,,
26016457,41.1517091,-8.6426829,3,,
26016466,41.1497612,-8.6408358,3,motorway_junction,
26016750,41.1674738,-8.6418896,3,,
26057813,41.1815228,-8.5945082,3,,
26057853,41.180349,-8.5920399,3,,
26122670,41.1807558,-8.6209585,4,,
26122673,41.1816016,-8.6211293,3,,
26122679,41.1817809,-8.6223813,3,motorway_junction,
26122693,41.1798161,-8.6239494,3,,
26122700,41.1802837,-8.6227193,3,,
26122707,41.1799712,-8.6224076,3,motorway_junction,
26122708,41.1798037,-8.6257879,3,,
26122713,41.1731101,-8.5947195,3,,
26122714,41.1734158,-8.5947981,3,motorway_junction,1
26122720,41.179984,-8.5930012,3,,
26122724,41.1828871,-8.5931847,3,,
26122742,41.1990594,-8.5872383,3,motorway_junction,3
26122781,41.1840589,-8.5937868,3,motorway_junction,2
26122784,41.1807675,-8.593171,3,motorway_junction,2
26122798,41.192382,-8.5923345,3,,
26122800,41.1943031,-8.5912507,3,,
26122807,41.1994838,-8.587137,3,motorway_junction,3
26122848,41.1800724,-8.6245912,3,,
